type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1627.3101:408.6537,1626.1167:407.0861,1623.4814:407.3899,
DATA,4.0000,64,256,1754.4750:430.4752,1764.7562:436.1182,1770.7174:444.3952,
DATA,4.0000,128,256,1886.1051:474.2303,1895.9365:480.9819,1899.8530:473.2363,
DATA,4.0000,256,256,1914.4565:471.6103,1915.6389:479.2560,1917.2862:471.6007,
DATA,4.0000,512,256,1989.0704:500.2215,2010.9363:496.2592,2036.6118:506.4124,
DATA,4.0000,1024,256,2004.3593:504.8170,2051.5680:523.9874,2041.7138:512.9374,
DATA,4.0000,2048,256,1930.5544:480.4843,2001.0210:501.7673,1990.3077:495.0876,
DATA,4.0000,32,512,1533.1642:381.8545,1536.6962:380.0998,1538.0122:386.5216,
DATA,4.0000,64,512,1645.1646:414.3226,1630.5529:407.8414,1632.5532:404.7699,
DATA,4.0000,128,512,1828.3773:451.5557,1723.7819:435.9487,1574.2895:398.9935,
DATA,4.0000,256,512,1895.2677:478.0748,1873.5732:466.7257,1871.6040:465.4138,
DATA,4.0000,512,512,1908.2474:479.2372,1915.8379:486.1453,1910.8449:477.4058,
DATA,4.0000,1024,512,1852.0047:464.8234,1926.0298:480.9905,1936.8868:478.3309,
DATA,4.0000,2048,512,1841.5727:461.2688,1936.0212:489.8853,1923.3106:478.3632,
DATA,4.0000,32,1024,1476.8307:377.3653,1446.8332:360.3515,1398.8805:354.4956,
DATA,4.0000,64,1024,1618.6330:413.0873,1613.9393:406.7103,1613.9018:411.9485,
DATA,4.0000,128,1024,1691.9653:412.4053,1686.7524:416.0722,1593.3908:396.0496,
DATA,4.0000,256,1024,1716.3767:429.5103,1776.2114:442.0955,1761.9143:442.1124,
DATA,4.0000,512,1024,1770.4956:454.2187,1778.0325:436.7508,1771.3718:433.7973,
DATA,4.0000,1024,1024,1809.1148:456.9494,1850.1534:472.7831,1856.3920:466.8865,
DATA,4.0000,2048,1024,1787.7456:445.7059,1878.9063:461.2735,1859.5760:470.4395,
DATA,4.0000,32,2048,1374.6322:336.1720,1359.1479:346.6952,1341.9861:333.2761,
DATA,4.0000,64,2048,1490.7739:370.7278,1480.8100:376.1491,1484.7391:376.0201,
DATA,4.0000,128,2048,1557.2196:387.2555,1482.4899:368.3012,1465.3693:364.7784,
DATA,4.0000,256,2048,1615.8963:406.7982,1610.7595:407.7728,1608.8771:404.0690,
DATA,4.0000,512,2048,1663.0527:420.1232,1644.8212:409.9996,1646.8993:414.7734,
DATA,4.0000,1024,2048,1638.2295:405.1564,1670.3104:423.2855,1667.1510:409.3372,
DATA,4.0000,2048,2048,1626.2546:399.0300,1698.7031:418.4263,1676.8594:416.0767,
DATA,4.0000,32,4096,1212.8826:305.0023,1211.6514:303.0631,1208.1271:299.5317,
DATA,4.0000,64,4096,1303.5035:323.3914,1241.1738:311.2224,1216.9849:304.5097,
DATA,4.0000,128,4096,1374.0612:346.3882,1378.8260:339.2019,1371.7527:344.6461,
DATA,4.0000,256,4096,1402.1168:344.7066,1386.6384:348.6566,1391.3352:343.8451,
DATA,4.0000,512,4096,1404.9906:345.2285,1411.6542:352.8377,1396.9482:337.3838,
DATA,4.0000,1024,4096,1384.4136:341.0291,1401.4083:349.3707,1422.3004:362.2308,
DATA,4.0000,2048,4096,1378.4251:342.4108,1434.1667:357.9682,1433.9456:359.4678,
DATA,4.0000,32,8192,955.7085:240.4810,980.7090:246.1892,975.7961:243.5827,
DATA,4.0000,64,8192,1057.9860:259.5545,1015.0180:256.9946,955.0530:240.1356,
DATA,4.0000,128,8192,1104.5672:271.8706,1090.3829:272.8306,1094.6492:274.0023,
DATA,4.0000,256,8192,1119.1302:279.6662,1140.9908:286.0233,1125.9437:278.0747,
DATA,4.0000,512,8192,1158.7078:287.5763,1155.4820:288.2104,1154.7535:290.0132,
DATA,4.0000,1024,8192,1125.1805:283.9860,1157.8575:288.7210,1151.6555:286.2182,
DATA,4.0000,2048,8192,1109.8675:272.7669,1155.2852:284.0316,1153.2285:289.6059,
DATA,4.0000,32,16384,716.1129:177.9775,710.9252:179.0437,694.1802:174.7397,
DATA,4.0000,64,16384,760.1194:194.8995,758.8845:190.4302,745.4744:186.9035,
DATA,4.0000,128,16384,789.1231:199.6996,780.3522:198.2409,789.8128:194.5970,
DATA,4.0000,256,16384,844.4306:211.3385,830.4711:207.3810,830.9987:207.7472,
DATA,4.0000,512,16384,836.4652:207.7268,829.2675:209.4676,804.7292:204.5845,
DATA,4.0000,1024,16384,875.1592:214.1317,862.0262:217.9779,862.3023:212.1615,
DATA,4.0000,2048,16384,848.0780:208.8823,885.0141:225.4229,882.6873:219.1646,
