type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1478.5699:369.5465,1479.3795:371.5091,1478.5814:363.1524,
DATA,4.0000,64,256,1447.3856:365.1062,1544.8908:389.6939,1577.3739:395.8971,
DATA,4.0000,128,256,1736.0822:433.1397,1745.4764:430.4857,1745.8635:438.7999,
DATA,4.0000,256,256,1817.2746:448.9807,1819.6508:452.8449,1821.1155:458.1637,
DATA,4.0000,512,256,1881.5066:468.4624,1891.2993:467.0687,1886.3861:467.2609,
DATA,4.0000,1024,256,1844.5311:453.2558,1859.9942:478.8493,1880.2575:469.4229,
DATA,4.0000,2048,256,1829.1505:456.3851,1888.3472:463.5910,1880.8288:481.5506,
DATA,4.0000,32,512,1450.7155:359.1890,1444.3350:354.4266,1423.2522:352.9232,
DATA,4.0000,64,512,1594.1119:410.1484,1598.8834:404.3750,1557.5087:386.4085,
DATA,4.0000,128,512,1691.7616:424.4658,1696.2506:418.7082,1707.0476:425.9558,
DATA,4.0000,256,512,1762.7948:434.3187,1771.1700:444.6639,1775.9724:451.3735,
DATA,4.0000,512,512,1819.0766:450.1427,1803.4230:452.9647,1807.4487:453.6950,
DATA,4.0000,1024,512,1759.0804:438.4317,1784.1267:442.4115,1788.8942:444.9965,
DATA,4.0000,2048,512,1765.5275:439.0262,1828.9634:461.2190,1824.3105:465.1227,
