type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1452.7096:358.6474,1457.5917:365.6280,1445.2319:366.1980,
DATA,4.0000,64,256,1552.9549:397.3539,1542.4208:385.1663,1580.8769:389.8932,
DATA,4.0000,128,256,1670.1204:411.0648,1664.4595:408.2783,1656.8001:418.8647,
DATA,4.0000,256,256,1696.2147:423.0674,1696.0942:423.4414,1707.0182:421.6985,
DATA,4.0000,512,256,1741.8838:432.5818,1753.2908:430.9437,1776.5021:442.3443,
DATA,4.0000,1024,256,1732.6820:430.8693,1771.9384:443.9511,1765.9725:438.7125,
DATA,4.0000,2048,256,1712.3892:422.2969,1781.7204:440.8879,1770.8477:446.8171,
DATA,4.0000,32,512,1385.3882:352.1675,1389.2941:346.6277,1388.3714:342.8335,
DATA,4.0000,64,512,1529.9506:378.1412,1509.6421:380.1459,1502.8737:381.6981,
DATA,4.0000,128,512,1608.5392:406.0057,1609.8599:401.6999,1600.3097:400.4174,
DATA,4.0000,256,512,1668.3266:418.5333,1619.8874:408.0516,1651.2344:415.6901,
DATA,4.0000,512,512,1694.5874:432.3003,1698.1907:431.9266,1688.7765:426.4182,
DATA,4.0000,1024,512,1712.5177:429.8613,1715.4297:427.2213,1697.9874:422.7188,
DATA,4.0000,2048,512,1622.9850:410.2804,1651.5955:409.8700,1645.4235:412.8617,
DATA,4.0000,32,1024,1294.2940:322.4005,1310.8605:317.2134,1304.4104:329.9324,
DATA,4.0000,64,1024,1398.4310:350.2590,1407.6670:347.8307,1415.2795:353.7711,
DATA,4.0000,128,1024,1518.7972:375.1924,1511.5680:379.2560,1517.8918:381.3613,
DATA,4.0000,256,1024,1545.6476:382.7857,1540.4086:386.9708,1542.7844:388.6790,
DATA,4.0000,512,1024,1592.1268:397.0809,1590.0029:394.6450,1598.5607:395.7794,
DATA,4.0000,1024,1024,1577.6958:401.5199,1581.7084:391.3313,1596.3141:395.3080,
DATA,4.0000,2048,1024,1601.9608:407.5376,1594.7326:404.3425,1599.2733:400.3303,
DATA,4.0000,32,2048,1230.0847:303.2268,1229.8610:306.8496,1231.4731:304.7176,
DATA,4.0000,64,2048,1362.7771:343.5005,1353.4957:333.3959,1353.2625:348.7767,
DATA,4.0000,128,2048,1412.5223:347.4050,1409.7850:358.5381,1396.9295:352.7690,
DATA,4.0000,256,2048,1434.7968:355.0153,1437.9194:355.0766,1436.6630:360.8649,
DATA,4.0000,512,2048,1492.6356:376.8283,1494.5576:377.9856,1495.7767:369.9598,
DATA,4.0000,1024,2048,1486.9979:378.7980,1477.1262:368.4916,1476.5945:372.0934,
DATA,4.0000,2048,2048,1428.7021:350.4770,1444.6069:367.7115,1475.3551:372.3753,
DATA,4.0000,32,4096,1082.7500:272.4149,1084.9641:268.6010,1075.7055:268.5205,
DATA,4.0000,64,4096,1175.8663:292.4555,1181.5884:298.6574,1181.0631:294.3753,
DATA,4.0000,128,4096,1237.0564:306.7452,1231.8194:308.7198,1224.8293:304.5580,
DATA,4.0000,256,4096,1269.2471:316.2984,1247.5156:312.9209,1260.0897:316.2748,
DATA,4.0000,512,4096,1280.5922:323.5085,1274.4063:316.7648,1283.2631:321.6886,
DATA,4.0000,1024,4096,1285.5404:322.9662,1264.0115:313.8077,1267.2115:316.8596,
DATA,4.0000,2048,4096,1219.1119:303.7714,1266.9076:315.2636,1263.1814:311.0198,
DATA,4.0000,32,8192,937.3886:232.1441,936.3146:233.1134,933.6398:235.7774,
DATA,4.0000,64,8192,975.9692:240.2661,976.7722:242.8498,963.2780:240.8786,
DATA,4.0000,128,8192,993.1064:242.5286,991.2365:247.8685,983.4381:244.3220,
DATA,4.0000,256,8192,1029.5281:260.5996,1025.5354:257.5607,1028.0181:258.7328,
DATA,4.0000,512,8192,1063.6900:269.8842,1059.6141:261.0207,1048.9582:260.8485,
DATA,4.0000,1024,8192,1051.2706:264.2788,1069.9625:266.3003,1066.0325:267.6508,
DATA,4.0000,2048,8192,1024.9356:253.6091,1054.0760:264.4113,1049.1659:262.6460,
DATA,4.0000,32,16384,684.2718:172.5016,685.8972:170.3181,688.4992:174.3464,
DATA,4.0000,64,16384,698.6251:172.1072,696.6250:176.2943,691.0461:172.7177,
DATA,4.0000,128,16384,751.2095:185.8082,743.4472:187.1879,738.0848:184.1740,
DATA,4.0000,256,16384,767.0879:188.8065,765.1562:193.1048,735.0811:184.9380,
DATA,4.0000,512,16384,800.8417:199.2025,793.9056:199.5389,787.1157:198.9672,
DATA,4.0000,1024,16384,807.7562:201.3470,802.7512:204.1248,774.7082:191.5641,
DATA,4.0000,2048,16384,808.5201:200.3679,802.3973:199.2660,805.5134:202.6165,
