type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1220.2717:309.4652,1220.7536:307.0202,1210.2889:305.5656,
DATA,4.0000,64,256,1307.9763:316.7963,1302.7799:329.0384,1303.3958:319.8394,
DATA,4.0000,128,256,1395.7787:353.5309,1388.9371:351.3614,1381.7336:351.7573,
DATA,4.0000,256,256,1442.0912:364.9321,1440.9036:363.2401,1452.8991:363.5829,
DATA,4.0000,512,256,1504.1275:373.4825,1504.6095:369.7937,1499.4184:382.7399,
DATA,4.0000,1024,256,1513.3116:373.3424,1510.0922:375.0154,1514.8240:376.7683,
DATA,4.0000,2048,256,1519.1216:379.0865,1499.8615:379.5377,1493.8059:376.0048,
DATA,4.0000,32,512,1125.5695:284.3517,1124.7516:282.1370,1122.6252:279.6370,
DATA,4.0000,64,512,1306.4183:331.9242,1297.4207:328.9877,1298.3855:328.3699,
DATA,4.0000,128,512,1356.9834:339.6659,1364.5381:340.3196,1364.5362:342.9984,
DATA,4.0000,256,512,1416.7505:342.7376,1405.5140:356.0306,1411.2471:350.8591,
DATA,4.0000,512,512,1442.6616:354.1463,1439.4798:359.1284,1434.1659:365.0000,
DATA,4.0000,1024,512,1468.7429:370.3219,1464.8220:368.2948,1469.3936:367.6134,
DATA,4.0000,2048,512,1448.5320:360.9339,1454.5610:357.6372,1454.9962:362.5036,
DATA,4.0000,32,1024,1094.3107:278.2430,1056.5286:265.8173,1069.9725:267.4246,
DATA,4.0000,64,1024,1189.6720:291.0309,1169.6001:291.8083,1228.4718:309.9592,
DATA,4.0000,128,1024,1294.5447:322.0166,1306.2294:324.5931,1301.7586:329.3902,
DATA,4.0000,256,1024,1357.3202:342.2968,1353.8010:338.0185,1350.5856:341.6117,
DATA,4.0000,512,1024,1390.0391:344.1061,1391.5859:355.7903,1386.6467:341.9884,
DATA,4.0000,1024,1024,1397.5751:350.1446,1393.6521:343.9212,1390.2971:351.1509,
DATA,4.0000,2048,1024,1385.7967:349.9539,1391.7027:341.4297,1390.2255:351.2987,
DATA,4.0000,32,2048,1074.5641:268.9088,1076.7260:268.6421,1062.9662:270.8431,
DATA,4.0000,64,2048,1174.0663:291.1337,1171.5697:293.8059,1174.0360:287.3686,
DATA,4.0000,128,2048,1224.5400:306.0160,1229.7425:307.2454,1223.3812:309.3260,
DATA,4.0000,256,2048,1304.8989:321.0495,1303.7408:326.0095,1297.6344:325.8472,
DATA,4.0000,512,2048,1296.1922:325.7785,1288.3431:320.7822,1291.6517:320.3669,
DATA,4.0000,1024,2048,1294.6107:327.1872,1292.2872:321.7042,1297.8323:317.7466,
DATA,4.0000,2048,2048,1289.0115:320.5542,1281.0259:316.0161,1279.7179:320.9964,
DATA,4.0000,32,4096,994.5701:248.9527,1000.0166:252.2884,986.9620:247.9105,
DATA,4.0000,64,4096,1036.1044:259.7054,1047.1307:265.3208,1041.7056:261.7606,
DATA,4.0000,128,4096,1107.2470:281.6669,1102.8328:276.9114,1104.6646:278.3407,
DATA,4.0000,256,4096,1137.3321:289.2778,1117.9679:277.0061,1134.0793:283.3671,
DATA,4.0000,512,4096,1159.9230:288.5980,1156.3220:294.1095,1144.5041:284.8612,
DATA,4.0000,1024,4096,1174.9204:293.2572,1153.8627:289.6300,1159.8644:292.5977,
DATA,4.0000,2048,4096,1132.6866:281.8920,1142.8077:283.8596,1152.6826:288.1665,
DATA,4.0000,32,8192,836.8707:210.1073,820.1807:203.6884,814.1982:201.1883,
DATA,4.0000,64,8192,897.4312:223.7089,888.7387:222.5726,893.1497:222.7565,
DATA,4.0000,128,8192,926.7129:228.5853,917.2333:228.9023,918.6696:226.4588,
DATA,4.0000,256,8192,946.1008:239.5447,936.9249:236.2136,941.2755:234.8151,
DATA,4.0000,512,8192,962.3517:241.2994,960.7918:247.4429,955.3439:241.8452,
DATA,4.0000,1024,8192,965.5123:242.0301,972.7011:244.0399,967.7085:239.0893,
DATA,4.0000,2048,8192,949.1742:239.9182,964.8960:242.3388,962.7007:237.4952,
DATA,4.0000,32,16384,631.8351:158.2154,621.2691:157.0096,618.1566:154.4013,
DATA,4.0000,64,16384,677.8713:168.0926,678.3678:170.0152,684.6965:172.3520,
DATA,4.0000,128,16384,696.9615:174.0217,694.1078:171.6412,688.7892:172.6684,
DATA,4.0000,256,16384,743.7557:184.5202,743.3221:183.6474,739.6154:188.0306,
DATA,4.0000,512,16384,719.8611:177.2456,730.0070:182.8377,731.3795:181.4948,
DATA,4.0000,1024,16384,767.9442:190.2991,766.0535:190.0062,759.0969:190.8086,
DATA,4.0000,2048,16384,730.6087:180.6002,776.6180:192.3651,775.8366:197.1627,
