type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1211.5270:304.0174,1211.4250:300.1711,1209.4342:298.3992,
DATA,4.0000,64,256,1331.5375:331.2184,1337.4648:335.3644,1342.0267:336.3399,
DATA,4.0000,128,256,1424.7441:354.3546,1442.1926:364.6526,1433.7433:362.3820,
DATA,4.0000,256,256,1468.6130:370.5384,1454.9677:368.4707,1486.9472:369.2678,
DATA,4.0000,512,256,1550.3139:395.7214,1551.6243:392.5423,1546.8609:385.4293,
DATA,4.0000,1024,256,1552.7907:386.4085,1552.2259:391.6123,1542.5609:386.1308,
DATA,4.0000,2048,256,1527.6235:389.2855,1531.4775:378.6791,1539.4799:384.7452,
DATA,4.0000,32,512,1188.3376:298.2351,1185.5734:301.6717,1189.5836:294.9435,
DATA,4.0000,64,512,1309.8461:324.5591,1314.2593:325.1934,1320.1855:339.8321,
DATA,4.0000,128,512,1379.7070:342.4680,1352.3342:337.9481,1282.9494:321.9755,
DATA,4.0000,256,512,1334.6793:331.4530,1333.2530:334.3365,1327.6065:339.2648,
DATA,4.0000,512,512,1503.3694:375.3500,1500.2057:373.1634,1484.6123:371.9292,
DATA,4.0000,1024,512,1500.8462:377.4726,1496.6836:385.6001,1502.4644:373.4250,
DATA,4.0000,2048,512,1464.9422:375.8168,1486.5117:369.6985,1483.5953:365.3741,
DATA,4.0000,32,1024,1162.6090:292.6522,1154.4871:286.6396,1152.9735:285.8326,
DATA,4.0000,64,1024,1238.1609:304.8694,1248.1883:304.2816,1253.0794:310.0928,
DATA,4.0000,128,1024,1324.0641:331.6671,1334.0637:331.3390,1326.3459:336.7723,
DATA,4.0000,256,1024,1383.4812:347.0149,1376.8726:342.0180,1378.7005:351.5864,
DATA,4.0000,512,1024,1414.7306:354.8141,1406.6339:352.6940,1412.3737:348.7280,
DATA,4.0000,1024,1024,1418.8688:354.2378,1403.6721:358.9476,1407.5455:347.8149,
DATA,4.0000,2048,1024,1434.8102:360.1666,1433.5251:363.2078,1427.3635:365.2018,
DATA,4.0000,32,2048,1065.9028:264.1806,1056.7402:264.3169,1078.8245:272.0920,
DATA,4.0000,64,2048,1176.9514:298.6255,1173.5285:296.0997,1166.3682:293.3039,
DATA,4.0000,128,2048,1228.0050:309.1447,1222.9586:304.7381,1240.3691:317.9921,
DATA,4.0000,256,2048,1287.3259:320.5787,1279.1478:323.6202,1280.8143:321.0256,
DATA,4.0000,512,2048,1305.6444:322.1650,1297.7341:323.0448,1300.8362:328.9593,
DATA,4.0000,1024,2048,1337.2188:331.0191,1334.0451:335.0236,1336.9384:332.2043,
DATA,4.0000,2048,2048,1302.8702:325.0565,1310.4360:317.0917,1306.8746:326.4899,
DATA,4.0000,32,4096,1000.8639:246.5048,1001.1910:252.7413,1004.3373:251.5235,
DATA,4.0000,64,4096,1058.5829:258.4545,1058.3401:268.0980,1056.4732:268.4226,
DATA,4.0000,128,4096,1128.9736:281.6303,1125.7828:281.3693,1125.6246:278.8045,
DATA,4.0000,256,4096,1142.8122:290.5274,1139.8606:286.5277,1140.4210:286.1285,
DATA,4.0000,512,4096,1173.0093:294.1902,1171.6644:293.3478,1169.2733:287.8574,
DATA,4.0000,1024,4096,1178.6897:297.5285,1174.3472:292.6478,1175.4897:291.7970,
DATA,4.0000,2048,4096,1139.7289:285.7177,1145.8032:280.0407,1153.7497:285.0881,
DATA,4.0000,32,8192,878.8676:221.0351,877.1210:218.9233,872.0768:220.6960,
DATA,4.0000,64,8192,892.5836:224.4262,916.4752:232.4462,903.3374:224.9024,
DATA,4.0000,128,8192,951.6727:234.3564,943.1542:235.3147,930.1379:237.6089,
DATA,4.0000,256,8192,961.1492:234.1291,956.8304:238.3040,957.3030:240.1849,
DATA,4.0000,512,8192,988.7159:247.0140,983.0250:242.3988,978.0752:241.9759,
DATA,4.0000,1024,8192,995.0730:248.9099,985.8363:247.6285,985.8858:244.6709,
DATA,4.0000,2048,8192,968.8289:243.7538,994.9737:245.0509,984.2653:246.1525,
DATA,4.0000,32,16384,638.4191:158.7874,650.3442:161.0644,659.2615:161.8998,
DATA,4.0000,64,16384,701.3679:171.5874,699.1008:174.4032,693.2054:174.4286,
DATA,4.0000,128,16384,696.9225:173.8346,693.0125:175.0959,697.0332:174.4746,
DATA,4.0000,256,16384,754.6989:182.2775,747.6353:186.0629,740.3035:184.5369,
DATA,4.0000,512,16384,759.0517:190.1824,759.8402:186.1455,754.2923:187.1039,
DATA,4.0000,1024,16384,772.1373:196.1703,770.2494:192.5995,761.7196:189.1814,
DATA,4.0000,2048,16384,736.9883:184.5072,764.7420:188.6089,761.0736:190.3215,
