type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1404.0806:345.5365,1379.9024:345.5753,1389.2698:347.0552,
DATA,4.0000,64,256,1554.4708:386.2360,1559.8942:389.4809,1563.1403:395.7747,
DATA,4.0000,128,256,1695.5059:426.7855,1674.6226:422.1078,1664.1185:415.6549,
DATA,4.0000,256,256,1723.7984:430.3456,1729.1283:434.9675,1728.2430:428.9563,
DATA,4.0000,512,256,1778.3253:440.2397,1773.2030:439.2439,1796.6928:431.6120,
DATA,4.0000,1024,256,1796.6923:459.9711,1814.0510:454.6740,1818.1797:451.5648,
DATA,4.0000,2048,256,1715.8007:421.7494,1767.5770:438.9768,1774.3376:444.8639,
DATA,4.0000,32,512,1355.1388:339.8414,1357.3764:345.2596,1363.1185:335.3001,
DATA,4.0000,64,512,1509.8766:378.1270,1512.9922:380.4669,1517.1793:385.3286,
DATA,4.0000,128,512,1587.4191:400.1745,1569.8064:395.1447,1561.6602:391.0401,
DATA,4.0000,256,512,1631.8125:410.0319,1696.4755:424.1613,1666.7435:417.3492,
DATA,4.0000,512,512,1697.0588:422.5624,1702.0412:417.7500,1713.7991:431.0034,
DATA,4.0000,1024,512,1739.8984:441.1625,1755.7339:431.2942,1767.4120:437.4959,
DATA,4.0000,2048,512,1670.1783:420.3611,1737.5115:437.7654,1738.3253:433.3584,
DATA,4.0000,32,1024,1331.9134:338.0275,1332.8444:337.0509,1332.4704:336.0780,
DATA,4.0000,64,1024,1470.2133:367.5958,1470.3112:368.8605,1462.5021:360.4690,
DATA,4.0000,128,1024,1503.5111:368.7052,1504.8901:376.3513,1508.2509:382.1159,
DATA,4.0000,256,1024,1569.3011:390.4090,1613.8695:402.5398,1614.5398:404.6842,
DATA,4.0000,512,1024,1654.9077:422.2114,1662.2017:412.4628,1666.4851:412.7666,
DATA,4.0000,1024,1024,1675.5206:423.1162,1699.1018:420.6414,1684.3474:425.6816,
DATA,4.0000,2048,1024,1638.7767:409.8284,1684.3369:422.6809,1682.7612:423.6136,
DATA,4.0000,32,2048,1260.8421:316.7471,1260.9526:310.1698,1260.2960:314.4036,
DATA,4.0000,64,2048,1314.3927:327.8986,1315.4934:327.8005,1303.3076:331.7501,
DATA,4.0000,128,2048,1423.3748:347.7301,1407.0230:354.3044,1407.8685:352.1754,
DATA,4.0000,256,2048,1444.5644:364.5690,1469.5343:369.2137,1490.3609:375.9352,
DATA,4.0000,512,2048,1519.8493:383.5281,1511.7887:384.7026,1504.0842:378.8660,
DATA,4.0000,1024,2048,1524.8872:379.1380,1544.2627:393.8260,1555.2238:395.5365,
DATA,4.0000,2048,2048,1515.5044:379.1915,1542.6402:383.0448,1550.0652:389.1945,
DATA,4.0000,32,4096,1112.9454:279.6975,1116.3483:281.6022,1105.9999:278.4719,
DATA,4.0000,64,4096,1194.4028:298.1137,1168.7631:294.3373,1163.0075:290.4187,
DATA,4.0000,128,4096,1222.7403:309.5447,1221.6729:307.2429,1257.8984:316.3156,
DATA,4.0000,256,4096,1296.5056:326.4309,1295.8921:318.6359,1299.0250:322.2760,
DATA,4.0000,512,4096,1309.5485:327.9811,1303.1735:325.2858,1305.3259:327.1893,
DATA,4.0000,1024,4096,1339.8978:337.4195,1340.6630:333.2420,1344.9190:340.7183,
DATA,4.0000,2048,4096,1271.9576:321.4437,1331.2504:342.2952,1342.5136:334.8652,
DATA,4.0000,32,8192,930.7056:234.1024,928.8293:230.3813,921.6491:233.0676,
DATA,4.0000,64,8192,992.2211:248.5500,988.9655:244.3723,982.1909:245.9764,
DATA,4.0000,128,8192,1011.1571:250.2922,1008.6472:253.5795,1008.7032:254.5099,
DATA,4.0000,256,8192,1083.6935:268.9231,1081.9015:273.0780,1086.3488:274.1654,
DATA,4.0000,512,8192,1097.1866:274.7310,1096.6216:271.6545,1089.1340:271.7260,
DATA,4.0000,1024,8192,1089.5049:275.3237,1103.3539:273.1607,1098.1024:280.2408,
DATA,4.0000,2048,8192,1063.3347:265.1378,1089.3129:268.7987,1095.5886:274.8526,
DATA,4.0000,32,16384,676.9965:169.1431,678.1195:167.9431,673.6333:169.9477,
DATA,4.0000,64,16384,710.7748:178.4929,688.6479:175.4882,699.3321:173.6085,
DATA,4.0000,128,16384,776.7531:195.3773,776.6979:193.0580,766.2154:189.9490,
DATA,4.0000,256,16384,779.7061:190.3613,783.4344:196.9313,789.2742:201.8249,
DATA,4.0000,512,16384,808.1685:203.0004,777.7114:197.1994,794.9328:196.0029,
DATA,4.0000,1024,16384,813.3191:201.4109,810.4701:202.9457,810.0944:202.6633,
DATA,4.0000,2048,16384,806.4924:205.0166,827.9563:204.7719,843.7128:212.2244,
