type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc60"
DATA,4.0000,32,256,1293.1367:326.8060,1285.4174:322.8009,1293.1635:321.3521,
DATA,4.0000,64,256,1375.3777:352.1693,1350.0234:338.4290,1331.6624:335.6975,
DATA,4.0000,128,256,1422.1877:354.4747,1402.5008:352.6819,1411.8877:353.0536,
DATA,4.0000,256,256,1446.3493:360.3083,1431.8437:355.9777,1340.2271:329.2401,
DATA,4.0000,512,256,1422.6178:351.5151,1458.9599:370.3432,1508.1361:375.9758,
DATA,4.0000,1024,256,1546.9542:386.6382,1570.4117:390.2875,1571.6074:390.2902,
DATA,4.0000,2048,256,1500.8914:371.9643,1546.7679:387.6748,1543.3225:382.9199,
DATA,4.0000,32,512,1205.5656:302.4461,1212.4327:304.0166,1205.3574:302.5038,
DATA,4.0000,64,512,1310.3762:321.8781,1310.9872:324.6363,1311.6373:329.5051,
DATA,4.0000,128,512,1408.7258:345.9414,1382.9982:352.7307,1375.7800:345.4845,
DATA,4.0000,256,512,1446.9852:367.9417,1445.4666:363.9737,1439.8194:358.3160,
DATA,4.0000,512,512,1509.1393:383.5530,1509.9421:375.5369,1517.9466:381.7061,
DATA,4.0000,1024,512,1474.9079:369.8447,1479.7916:374.1188,1477.2828:361.1792,
DATA,4.0000,2048,512,1429.9969:361.1217,1503.3409:378.7666,1481.6576:372.1497,
DATA,4.0000,32,1024,1179.8210:298.2424,1179.1754:289.5787,1185.2402:289.4151,
DATA,4.0000,64,1024,1269.4638:318.1911,1264.8719:319.7040,1269.8799:320.4088,
DATA,4.0000,128,1024,1318.8557:337.8220,1346.8926:332.6394,1339.7598:335.2711,
DATA,4.0000,256,1024,1391.1052:353.1692,1391.0529:347.8848,1396.8267:344.3163,
DATA,4.0000,512,1024,1415.1843:351.4500,1414.8111:358.6912,1403.5583:357.0425,
DATA,4.0000,1024,1024,1442.7262:362.8143,1444.6807:364.5291,1446.7832:362.9844,
DATA,4.0000,2048,1024,1429.5955:363.0233,1469.3089:369.6054,1471.4539:368.3513,
DATA,4.0000,32,2048,1118.3630:282.9169,1113.1776:273.5764,1114.3309:280.2557,
DATA,4.0000,64,2048,1215.3743:308.6798,1221.2195:308.3229,1222.1835:302.6075,
DATA,4.0000,128,2048,1262.6178:315.8860,1253.1794:315.4049,1250.0393:312.8567,
DATA,4.0000,256,2048,1275.9509:322.2137,1299.4938:326.0418,1308.9193:331.1463,
DATA,4.0000,512,2048,1342.7938:342.5994,1337.0801:331.1127,1333.6593:334.8110,
DATA,4.0000,1024,2048,1327.7764:328.5321,1344.0740:339.5989,1348.0494:332.1970,
DATA,4.0000,2048,2048,1327.2011:334.5295,1372.6612:345.0828,1365.6861:341.9964,
DATA,4.0000,32,4096,1022.1442:259.4769,1016.6943:254.3320,1014.9609:255.7386,
DATA,4.0000,64,4096,1069.2124:267.4021,1064.4151:263.8433,1069.3096:268.8980,
DATA,4.0000,128,4096,1146.7471:288.6928,1120.7172:279.1958,1117.5760:279.4550,
DATA,4.0000,256,4096,1134.2653:281.0191,1166.9047:289.0162,1178.5730:292.0569,
DATA,4.0000,512,4096,1188.1495:294.0321,1191.0080:303.4546,1196.9187:298.0908,
DATA,4.0000,1024,4096,1205.9555:300.9717,1215.6522:300.5131,1202.5539:300.4086,
DATA,4.0000,2048,4096,1141.1824:284.0438,1186.3037:296.0863,1184.7817:296.7052,
DATA,4.0000,32,8192,888.6497:220.1932,885.9316:220.4310,882.4096:220.0234,
DATA,4.0000,64,8192,935.2807:233.2932,947.4390:240.7794,952.0912:237.5138,
DATA,4.0000,128,8192,933.5049:238.5118,935.6031:232.6998,936.1431:231.7271,
DATA,4.0000,256,8192,964.8964:243.6076,961.4836:240.7882,958.9696:239.7088,
DATA,4.0000,512,8192,986.7590:242.9635,990.3178:249.4955,983.3567:247.4864,
DATA,4.0000,1024,8192,991.7711:245.8231,996.8790:249.5578,993.5697:248.9357,
DATA,4.0000,2048,8192,960.3734:242.5584,995.6556:250.5991,992.2053:249.8179,
DATA,4.0000,32,16384,671.5914:169.3270,667.0504:167.0961,674.4441:166.2359,
DATA,4.0000,64,16384,715.6589:182.2584,711.1986:177.6878,724.8115:181.0212,
DATA,4.0000,128,16384,743.5850:185.8003,729.5779:182.6211,713.7692:182.6303,
DATA,4.0000,256,16384,750.9876:188.8489,756.7234:188.8449,750.9366:183.1996,
DATA,4.0000,512,16384,747.3641:186.7668,744.0817:187.4579,747.2857:185.8845,
DATA,4.0000,1024,16384,771.5757:192.5004,776.3627:192.9157,785.3349:197.1433,
DATA,4.0000,2048,16384,804.0409:200.8150,795.3917:200.0226,794.6381:200.2074,
