type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1634.5931:402.4846,1617.6151:409.5730,1620.9000:402.1387,
DATA,4.0000,64,256,1728.4637:427.9013,1745.0678:436.1508,1762.3935:435.2636,
DATA,4.0000,128,256,1895.7781:477.0215,1897.5176:470.3986,1899.7195:474.0233,
DATA,4.0000,256,256,1978.4879:495.9059,1980.9019:497.6121,1990.1704:504.5082,
DATA,4.0000,512,256,2036.2898:508.3024,2053.2214:513.0905,2046.0079:507.5986,
DATA,4.0000,1024,256,1948.3692:492.5375,1970.8771:486.7885,1972.4510:507.8341,
DATA,4.0000,2048,256,1941.7618:479.1557,2025.2259:513.8035,2046.0191:519.5799,
DATA,4.0000,32,512,1538.8583:387.2179,1533.9351:382.6190,1538.3357:383.7662,
DATA,4.0000,64,512,1687.7302:424.4611,1643.7785:411.4533,1621.5651:406.5008,
DATA,4.0000,128,512,1776.5946:445.8603,1794.0071:442.4516,1779.9679:442.0364,
DATA,4.0000,256,512,1878.2781:470.1361,1898.6253:471.0851,1897.6672:478.5018,
DATA,4.0000,512,512,1954.7551:490.8812,1960.8667:487.3190,1963.5379:478.3338,
DATA,4.0000,1024,512,1952.6660:484.0882,1949.8559:489.6930,1957.9521:479.5606,
DATA,4.0000,2048,512,1849.6690:463.1657,1950.4450:485.8537,1969.7489:500.0357,
DATA,4.0000,32,1024,1501.9902:382.1854,1511.9597:379.6307,1490.6762:379.8210,
DATA,4.0000,64,1024,1634.4534:413.5666,1635.6298:407.6175,1641.8525:412.5104,
DATA,4.0000,128,1024,1723.2454:428.4913,1735.3335:441.8243,1743.1939:432.8447,
DATA,4.0000,256,1024,1664.1133:432.0253,1700.8586:428.5019,1808.1793:455.8211,
DATA,4.0000,512,1024,1828.9918:465.2580,1845.8569:469.6602,1836.8435:457.7951,
DATA,4.0000,1024,1024,1759.8252:448.5532,1818.0287:455.4224,1760.4992:443.3048,
DATA,4.0000,2048,1024,1796.7191:449.8490,1872.6776:468.5791,1862.6152:462.3233,
DATA,4.0000,32,2048,1320.0864:329.7279,1308.4170:332.3536,1313.5391:334.4817,
DATA,4.0000,64,2048,1488.8927:375.4354,1497.4217:375.1015,1496.8972:372.8651,
DATA,4.0000,128,2048,1592.6686:394.7332,1579.4240:397.8639,1539.6389:383.4146,
DATA,4.0000,256,2048,1646.0425:417.3213,1630.4966:416.6709,1637.4873:408.6960,
DATA,4.0000,512,2048,1673.6115:407.3668,1683.7252:423.1851,1675.8535:426.1337,
DATA,4.0000,1024,2048,1647.9264:404.5458,1690.2453:427.4768,1687.6852:413.5797,
DATA,4.0000,2048,2048,1616.6346:406.4642,1697.5118:429.9016,1680.5355:414.4487,
DATA,4.0000,32,4096,1206.0298:299.9256,1211.3172:300.7102,1213.4621:299.7703,
DATA,4.0000,64,4096,1311.8842:327.5590,1310.6346:325.2777,1276.0839:322.4547,
DATA,4.0000,128,4096,1314.1088:323.4001,1305.7571:328.7187,1311.7484:325.9255,
DATA,4.0000,256,4096,1428.9824:353.4019,1407.6915:356.7231,1408.4960:350.1729,
DATA,4.0000,512,4096,1365.6634:346.8320,1337.4918:337.3482,1351.8136:333.0176,
DATA,4.0000,1024,4096,1381.4411:345.7192,1397.6744:343.5679,1402.3913:351.7100,
DATA,4.0000,2048,4096,1415.0067:349.8607,1447.1399:368.1643,1457.9712:368.2127,
DATA,4.0000,32,8192,973.7326:241.0334,963.6302:245.5923,946.1332:239.3765,
DATA,4.0000,64,8192,1040.7392:261.0275,1040.5206:260.0307,981.5942:244.9683,
DATA,4.0000,128,8192,1112.9635:278.5150,1116.3110:279.9438,1110.5869:276.7769,
DATA,4.0000,256,8192,1112.9449:281.8549,1111.4942:274.9171,1116.4361:282.0052,
DATA,4.0000,512,8192,1131.3788:279.7285,1128.6601:281.0585,1134.4960:282.2021,
DATA,4.0000,1024,8192,1103.7878:273.1411,1142.1510:285.7480,1132.9311:281.4821,
DATA,4.0000,2048,8192,1113.9283:278.7981,1155.9697:284.9546,1146.0499:293.4278,
DATA,4.0000,32,16384,719.8309:177.7583,714.3698:178.8824,695.6553:174.3267,
DATA,4.0000,64,16384,758.1652:189.0180,750.3030:189.2382,751.4686:186.6228,
DATA,4.0000,128,16384,791.3567:199.0015,788.8473:199.7056,790.3509:196.8210,
DATA,4.0000,256,16384,821.3046:205.1694,819.5276:204.4184,819.9975:206.5825,
DATA,4.0000,512,16384,827.2631:207.2483,797.2640:196.8043,818.6414:204.5009,
DATA,4.0000,1024,16384,859.6626:213.8307,854.2693:217.5834,844.7397:208.2506,
DATA,4.0000,2048,16384,824.1216:205.2641,872.6003:217.6354,887.1275:225.3160,
