type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1192.7824:298.5305,1216.4674:305.6378,1209.4060:299.4090,
DATA,4.0000,64,256,1578.5611:389.7566,1565.9423:391.9201,1565.7112:394.8536,
DATA,4.0000,128,256,1651.6203:415.8434,1597.6063:398.1473,1626.6654:408.5816,
DATA,4.0000,256,256,1723.2344:442.0526,1729.6159:430.4913,1729.0368:435.0015,
DATA,4.0000,512,256,1805.0337:443.4818,1806.8869:455.0217,1812.3619:461.5807,
DATA,4.0000,1024,256,1805.5225:447.9545,1828.9005:451.6414,1824.7826:453.6312,
DATA,4.0000,2048,256,1744.2097:426.7892,1812.6422:457.4715,1806.1633:449.9252,
DATA,4.0000,32,512,1378.2239:338.1608,1378.3152:338.1826,1377.9417:339.0746,
DATA,4.0000,64,512,1450.2228:362.6443,1495.7150:369.4488,1449.5662:356.2038,
DATA,4.0000,128,512,1602.2064:397.5935,1575.5735:392.9017,1629.1758:407.0833,
DATA,4.0000,256,512,1715.4227:425.0812,1692.4382:418.6590,1684.1522:419.3332,
DATA,4.0000,512,512,1716.7254:425.8754,1720.8706:426.2279,1706.0634:431.2497,
DATA,4.0000,1024,512,1713.7695:432.9405,1741.8293:433.4509,1754.8549:431.0735,
DATA,4.0000,2048,512,1696.0767:424.4079,1764.5263:443.0799,1765.7232:454.4906,
DATA,4.0000,32,1024,1333.1328:325.6746,1328.1634:340.0474,1331.0778:331.6460,
DATA,4.0000,64,1024,1414.0146:356.1555,1418.8127:354.3901,1404.5729:349.0800,
DATA,4.0000,128,1024,1570.2184:399.2401,1577.7239:392.2516,1533.9589:390.3636,
DATA,4.0000,256,1024,1577.1562:396.3503,1577.6422:390.2670,1554.7956:394.9705,
DATA,4.0000,512,1024,1666.0681:417.6317,1670.4452:415.5547,1676.8718:412.0330,
DATA,4.0000,1024,1024,1638.1057:411.1280,1638.7972:409.5079,1629.9965:406.5347,
DATA,4.0000,2048,1024,1600.4596:406.7238,1642.3348:412.9048,1647.2643:409.7508,
DATA,4.0000,32,2048,1255.4888:315.8743,1258.7192:312.9510,1253.0923:315.2709,
DATA,4.0000,64,2048,1296.8752:322.8392,1309.4021:328.7363,1285.6275:322.3703,
DATA,4.0000,128,2048,1426.0072:359.9781,1424.4667:360.1252,1437.4444:359.7537,
DATA,4.0000,256,2048,1491.9858:369.1550,1466.9901:362.3420,1465.4778:368.0106,
DATA,4.0000,512,2048,1518.3072:372.5976,1502.5412:376.7967,1516.3459:376.1844,
DATA,4.0000,1024,2048,1522.5286:378.2165,1523.4225:374.4425,1535.0799:382.9204,
DATA,4.0000,2048,2048,1493.7659:374.7975,1538.6327:388.8567,1534.3597:376.6741,
DATA,4.0000,32,4096,1131.2942:278.5929,1126.2371:278.7837,1122.8883:280.2303,
DATA,4.0000,64,4096,1215.5066:304.3296,1203.9842:300.3921,1189.9142:301.4544,
DATA,4.0000,128,4096,1248.1518:318.9638,1262.7289:320.4673,1263.1346:315.9325,
DATA,4.0000,256,4096,1294.8653:321.6881,1261.3775:316.1617,1270.9730:320.3653,
DATA,4.0000,512,4096,1270.7542:320.5874,1275.8937:316.0903,1277.1133:319.9865,
DATA,4.0000,1024,4096,1351.4401:340.6102,1349.0769:329.3125,1359.8417:333.5852,
DATA,4.0000,2048,4096,1279.5291:316.2499,1312.1445:325.6976,1319.8064:333.6111,
DATA,4.0000,32,8192,927.1239:227.7095,926.6226:231.1924,921.1101:227.8356,
DATA,4.0000,64,8192,962.1856:244.7696,970.6909:241.7325,977.2300:247.1533,
DATA,4.0000,128,8192,1030.8763:259.1996,1011.0232:250.0728,1006.3717:249.6847,
DATA,4.0000,256,8192,1048.3780:264.2551,1075.8745:267.2854,1077.4399:262.8845,
DATA,4.0000,512,8192,1082.4658:265.1100,1077.2250:269.5604,1056.4660:262.9227,
DATA,4.0000,1024,8192,1086.1074:273.0682,1094.4469:274.9281,1090.6121:272.8516,
DATA,4.0000,2048,8192,1069.6926:268.0115,1107.3497:276.9390,1121.0747:275.6966,
DATA,4.0000,32,16384,681.6768:172.2548,681.7783:169.6991,680.7217:164.8740,
DATA,4.0000,64,16384,718.1518:179.3127,715.5729:177.2392,740.2940:184.4716,
DATA,4.0000,128,16384,747.1641:190.0227,743.0355:191.5291,760.0380:189.8415,
DATA,4.0000,256,16384,803.3114:201.8301,789.2813:197.8808,788.6940:195.0042,
DATA,4.0000,512,16384,805.1373:202.2115,804.1390:202.4655,811.7484:205.8342,
DATA,4.0000,1024,16384,816.6322:201.6088,822.1260:205.9567,811.1506:205.5063,
DATA,4.0000,2048,16384,818.8217:203.2263,856.7509:217.0093,856.9954:217.4224,
