type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1186.8566:293.4568,1183.3045:297.9345,1185.4777:297.4070,
DATA,4.0000,64,256,1285.3200:323.9824,1294.3348:324.9598,1296.1528:324.6839,
DATA,4.0000,128,256,1381.0087:352.4756,1385.8593:346.3240,1384.9303:344.7575,
DATA,4.0000,256,256,1448.0825:376.0052,1437.2889:359.0403,1445.4834:356.5780,
DATA,4.0000,512,256,1501.2090:368.4929,1506.3787:375.7465,1504.5235:381.2086,
DATA,4.0000,1024,256,1510.6664:376.3573,1507.8124:375.4853,1503.6042:382.1060,
DATA,4.0000,2048,256,1503.0465:373.6272,1502.8956:378.5686,1499.8447:376.5695,
DATA,4.0000,32,512,1143.6457:284.9470,1154.0696:288.2276,1149.6769:286.2332,
DATA,4.0000,64,512,1264.0914:317.6422,1271.8430:318.3166,1244.8152:307.3203,
DATA,4.0000,128,512,1252.1889:308.7856,1242.1073:309.7074,1241.3526:305.8465,
DATA,4.0000,256,512,1303.5183:328.5650,1284.5409:317.8872,1269.1073:307.8406,
DATA,4.0000,512,512,1433.0012:351.0473,1431.9995:358.8737,1427.2118:353.8805,
DATA,4.0000,1024,512,1457.9777:364.7821,1458.8862:362.3144,1454.6548:358.3740,
DATA,4.0000,2048,512,1441.4723:362.8731,1450.0348:366.4920,1457.8272:360.8948,
DATA,4.0000,32,1024,1136.2178:277.4102,1133.3430:283.7200,1119.1487:280.5567,
DATA,4.0000,64,1024,1220.0431:306.7254,1209.3912:303.8559,1214.4968:304.7235,
DATA,4.0000,128,1024,1292.6396:321.3722,1291.1932:325.0563,1295.6282:320.2662,
DATA,4.0000,256,1024,1345.8355:339.2681,1341.1471:338.1246,1343.4389:341.4540,
DATA,4.0000,512,1024,1375.8399:345.6473,1375.1150:350.8398,1372.5010:345.0413,
DATA,4.0000,1024,1024,1379.3373:341.3619,1381.1384:349.2763,1381.0370:351.1640,
DATA,4.0000,2048,1024,1379.6686:347.2781,1379.9182:348.7738,1375.8083:342.7743,
DATA,4.0000,32,2048,1080.9042:272.7198,1081.1339:273.6364,1073.7469:266.9613,
DATA,4.0000,64,2048,1158.6887:286.7015,1167.8249:287.4060,1154.4222:286.6898,
DATA,4.0000,128,2048,1187.5164:298.9914,1184.0741:297.2014,1188.0355:298.8233,
DATA,4.0000,256,2048,1244.5663:313.6261,1245.1904:311.5523,1229.2733:304.5479,
DATA,4.0000,512,2048,1285.4789:320.9080,1272.4067:324.0688,1278.8777:324.1638,
DATA,4.0000,1024,2048,1293.3133:327.7983,1291.8354:325.9993,1297.1109:325.6184,
DATA,4.0000,2048,2048,1266.8165:311.8372,1281.7984:311.1971,1255.7030:309.2181,
DATA,4.0000,32,4096,946.1325:237.6277,922.8645:227.7504,915.8330:228.1566,
DATA,4.0000,64,4096,974.8608:241.7976,979.7088:244.1301,972.0243:240.0951,
DATA,4.0000,128,4096,1049.1562:253.0700,1046.6327:263.2155,1050.5095:262.7510,
DATA,4.0000,256,4096,1096.8039:275.7380,1107.2597:273.5635,1088.8129:275.5006,
DATA,4.0000,512,4096,1106.1031:274.6135,1086.4433:267.3732,1109.4579:273.5536,
DATA,4.0000,1024,4096,1133.7999:282.7925,1125.6613:283.1212,1121.0474:281.4339,
DATA,4.0000,2048,4096,1122.1448:274.2408,1121.2924:286.0561,1105.3224:275.4281,
DATA,4.0000,32,8192,744.0198:185.6330,744.3896:184.1007,744.7507:183.1946,
DATA,4.0000,64,8192,833.3421:205.0894,825.8380:204.6805,829.7012:205.4179,
DATA,4.0000,128,8192,871.8525:221.5966,862.5047:219.2235,879.9587:221.3914,
DATA,4.0000,256,8192,942.2076:232.0203,926.5249:232.6082,929.6000:235.1009,
DATA,4.0000,512,8192,953.1645:239.8658,956.2750:241.1588,958.1785:243.8007,
DATA,4.0000,1024,8192,983.4684:246.7413,978.9367:244.2094,975.6031:248.9372,
DATA,4.0000,2048,8192,949.6314:240.6821,961.7701:240.0856,963.3485:237.7419,
DATA,4.0000,32,16384,606.3252:150.6726,607.6973:150.1433,604.4528:150.8294,
DATA,4.0000,64,16384,661.3197:164.0478,659.8223:166.4218,662.1782:163.8300,
DATA,4.0000,128,16384,694.9449:175.3448,689.2477:174.0154,689.2988:176.4790,
DATA,4.0000,256,16384,710.6153:175.1716,710.2015:175.3991,710.9941:176.6982,
DATA,4.0000,512,16384,719.5869:179.0376,708.6392:176.6917,697.8226:171.9296,
DATA,4.0000,1024,16384,751.3807:191.7243,756.9272:188.9158,757.8653:188.9896,
DATA,4.0000,2048,16384,715.6774:176.3771,748.4463:184.7754,740.6703:183.2101,
