type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1383.3449:341.7820,1371.9333:343.8803,1342.7932:334.4818,
DATA,4.0000,64,256,1410.8793:355.5419,1405.5671:354.8646,1347.9344:334.0361,
DATA,4.0000,128,256,1642.3976:420.8507,1637.9875:407.1357,1636.3556:406.1684,
DATA,4.0000,256,256,1668.3623:410.8398,1637.0986:411.2095,1614.8297:407.5870,
DATA,4.0000,512,256,1683.2913:421.2141,1682.2434:420.3449,1736.9160:439.0111,
DATA,4.0000,1024,256,1757.5386:443.8563,1786.3109:445.1551,1792.3800:446.7224,
DATA,4.0000,2048,256,1680.3599:418.1618,1764.7337:438.9943,1758.0031:441.7744,
DATA,4.0000,32,512,1340.4885:343.9220,1348.9257:337.2720,1347.4812:339.7796,
DATA,4.0000,64,512,1493.9271:371.9880,1503.3922:377.3952,1486.5843:377.6989,
DATA,4.0000,128,512,1546.8616:398.5280,1527.0642:383.0908,1542.6165:382.6140,
DATA,4.0000,256,512,1653.1277:407.8083,1656.5728:406.9105,1649.5992:411.8489,
DATA,4.0000,512,512,1698.0155:420.5179,1693.1586:420.7961,1708.2984:428.4885,
DATA,4.0000,1024,512,1709.2361:429.1355,1733.9818:438.3936,1738.3114:434.0972,
DATA,4.0000,2048,512,1604.8875:399.3824,1644.9190:409.2516,1652.0422:407.8344,
DATA,4.0000,32,1024,1260.7139:317.5820,1282.9716:323.9139,1288.9819:320.6471,
DATA,4.0000,64,1024,1455.6097:363.3064,1450.7048:368.4944,1453.6337:357.4739,
DATA,4.0000,128,1024,1513.5931:377.5823,1489.3565:373.9181,1501.3660:370.9291,
DATA,4.0000,256,1024,1553.6677:399.8824,1581.2051:391.7802,1580.1394:394.4248,
DATA,4.0000,512,1024,1622.2610:412.2489,1629.7069:411.6950,1644.9300:413.5681,
DATA,4.0000,1024,1024,1651.4052:412.8095,1648.7867:413.7397,1656.5586:411.8232,
DATA,4.0000,2048,1024,1607.0060:400.6702,1661.3446:416.6903,1649.5692:409.1836,
DATA,4.0000,32,2048,1237.7699:305.0061,1232.6626:312.5541,1229.5757:308.8543,
DATA,4.0000,64,2048,1354.9951:344.6513,1364.9095:344.3020,1365.2798:339.5717,
DATA,4.0000,128,2048,1400.6340:353.8819,1388.1726:346.1643,1389.2273:342.7050,
DATA,4.0000,256,2048,1470.5637:375.1073,1499.5908:365.9637,1505.4913:376.9284,
DATA,4.0000,512,2048,1519.4845:379.0579,1511.3292:375.7335,1510.2617:371.8097,
DATA,4.0000,1024,2048,1440.3831:356.4281,1454.9213:358.2560,1466.9923:367.8411,
DATA,4.0000,2048,2048,1506.9063:372.0758,1529.3120:379.4986,1545.8223:380.0289,
DATA,4.0000,32,4096,1103.7519:271.4329,1092.3406:278.1546,1106.9299:271.8716,
DATA,4.0000,64,4096,1198.9014:302.3515,1186.8008:293.5528,1167.9158:291.4301,
DATA,4.0000,128,4096,1200.7503:298.6557,1200.1000:307.1808,1233.8519:310.3124,
DATA,4.0000,256,4096,1279.4436:319.9720,1255.0609:310.4284,1273.1464:314.2714,
DATA,4.0000,512,4096,1323.6503:327.6466,1325.6933:325.2598,1317.8641:332.0455,
DATA,4.0000,1024,4096,1330.6164:330.1996,1346.6733:334.7150,1350.7744:343.8486,
DATA,4.0000,2048,4096,1318.8195:325.8730,1336.4187:336.9468,1363.5653:343.4845,
DATA,4.0000,32,8192,922.7427:231.2624,912.2178:231.3130,914.6894:233.3786,
DATA,4.0000,64,8192,966.0085:247.8738,979.3306:243.5163,977.8824:244.3478,
DATA,4.0000,128,8192,1016.1412:257.5033,1001.4213:248.9433,1003.5738:248.6970,
DATA,4.0000,256,8192,1083.0069:269.5941,1084.6202:274.2759,1082.7511:268.4072,
DATA,4.0000,512,8192,1088.7437:274.4807,1074.7989:265.0592,1075.3047:265.3260,
DATA,4.0000,1024,8192,1100.9341:280.4787,1112.3492:278.5217,1102.8926:278.1392,
DATA,4.0000,2048,8192,1057.5602:261.7553,1100.7279:275.2504,1100.5638:272.1204,
DATA,4.0000,32,16384,693.8114:174.4947,691.5067:173.8498,685.5991:171.3996,
DATA,4.0000,64,16384,735.3846:181.8048,731.4256:185.3768,719.2949:177.1784,
DATA,4.0000,128,16384,752.4192:189.9169,769.2808:194.5356,765.3881:198.6475,
DATA,4.0000,256,16384,792.7559:195.9600,796.6847:197.7744,796.0372:199.9523,
DATA,4.0000,512,16384,804.7161:201.6277,805.3948:200.1856,806.9632:200.0714,
DATA,4.0000,1024,16384,797.8846:201.1163,823.9364:203.7645,812.7020:205.4804,
DATA,4.0000,2048,16384,845.4782:211.6934,849.2493:213.2972,835.8635:207.4804,
