type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1441.5026:359.5643,1448.8238:364.5146,1446.1172:358.5962,
DATA,4.0000,64,256,1509.1131:375.3918,1498.3920:370.7618,1523.7029:369.3755,
DATA,4.0000,128,256,1707.2271:423.8677,1694.0167:419.0087,1695.5887:422.5634,
DATA,4.0000,256,256,1779.4060:445.4562,1785.9655:440.6329,1769.6302:439.8557,
DATA,4.0000,512,256,1819.1307:447.1517,1819.9418:449.3995,1816.2546:452.3558,
DATA,4.0000,1024,256,1837.0823:461.3611,1857.9832:461.2181,1863.4454:462.2810,
DATA,4.0000,2048,256,1775.5862:441.0070,1810.8309:453.4607,1830.7208:463.5685,
DATA,4.0000,32,512,1413.4934:356.2479,1395.6425:353.9823,1403.5205:350.7027,
DATA,4.0000,64,512,1573.1908:391.1804,1568.1001:390.1577,1562.2751:388.4682,
DATA,4.0000,128,512,1580.2950:399.5677,1574.2361:393.3412,1566.8668:386.0979,
DATA,4.0000,256,512,1737.7401:429.7650,1733.8970:428.0589,1729.6945:449.0248,
DATA,4.0000,512,512,1782.0704:443.1747,1804.8529:449.6866,1799.7229:445.9386,
DATA,4.0000,1024,512,1777.7153:445.2288,1791.8664:443.2956,1787.5214:444.1744,
DATA,4.0000,2048,512,1713.9718:432.0456,1787.1923:442.3543,1793.7738:449.7398,
DATA,4.0000,32,1024,1322.0252:328.2353,1306.1472:326.5761,1372.2828:340.3724,
DATA,4.0000,64,1024,1526.6460:382.3903,1497.4038:373.3177,1480.2480:367.4700,
DATA,4.0000,128,1024,1541.6293:383.3786,1610.6027:398.4750,1607.1669:398.2243,
DATA,4.0000,256,1024,1678.7392:407.7268,1668.4133:415.9469,1661.9403:414.9620,
DATA,4.0000,512,1024,1719.6610:433.1719,1728.9865:444.6305,1724.5494:426.1317,
DATA,4.0000,1024,1024,1725.7839:427.2206,1751.3592:431.1698,1766.5303:435.0477,
DATA,4.0000,2048,1024,1672.2121:423.9516,1714.6302:420.9861,1711.7461:429.0740,
DATA,4.0000,32,2048,1316.4244:328.4883,1323.9292:328.2560,1312.0139:326.5279,
DATA,4.0000,64,2048,1352.6333:340.9049,1372.0369:333.4534,1417.3347:357.5673,
DATA,4.0000,128,2048,1471.1377:370.9519,1487.4615:372.8839,1490.2558:372.4190,
DATA,4.0000,256,2048,1475.4240:370.0468,1483.2723:374.8494,1489.9857:366.9666,
DATA,4.0000,512,2048,1575.6987:385.9749,1586.4387:401.0109,1593.4295:404.5959,
DATA,4.0000,1024,2048,1567.9845:391.6313,1591.1804:397.9684,1569.7828:395.1085,
DATA,4.0000,2048,2048,1580.0314:387.3410,1622.4864:388.6819,1613.3764:401.0816,
DATA,4.0000,32,4096,1130.4695:285.9453,1137.7951:279.5218,1143.5961:286.8998,
DATA,4.0000,64,4096,1197.4193:295.6947,1166.2083:290.2377,1251.3725:313.7812,
DATA,4.0000,128,4096,1305.2171:322.4403,1320.8960:328.6499,1305.4836:331.0324,
DATA,4.0000,256,4096,1358.1160:339.0967,1345.2986:336.6542,1345.7930:340.2697,
DATA,4.0000,512,4096,1400.7161:351.9714,1406.0627:348.7037,1403.4170:349.5782,
DATA,4.0000,1024,4096,1368.4401:342.3336,1383.0227:346.8529,1389.6514:349.2069,
DATA,4.0000,2048,4096,1408.6591:354.0265,1428.6024:358.5293,1422.7143:359.7444,
DATA,4.0000,32,8192,947.5886:237.1041,946.4903:231.4973,943.0458:238.5375,
DATA,4.0000,64,8192,943.6921:236.0980,1004.6054:255.2436,1007.7616:250.7424,
DATA,4.0000,128,8192,1086.8051:267.1942,1068.1045:264.7549,1064.6582:266.9258,
DATA,4.0000,256,8192,1101.5903:272.3310,1101.9390:277.2366,1093.2890:278.9441,
DATA,4.0000,512,8192,1112.3409:275.0929,1106.5605:279.7497,1115.0045:276.2371,
DATA,4.0000,1024,8192,1113.3559:280.2712,1136.9676:281.2097,1131.7585:282.3217,
DATA,4.0000,2048,8192,1153.0812:283.9671,1147.9300:287.9966,1165.6575:295.1079,
DATA,4.0000,32,16384,707.1656:178.4518,699.6267:172.9432,680.5491:168.7921,
DATA,4.0000,64,16384,758.1545:191.5322,758.4541:188.7368,719.4423:179.9046,
DATA,4.0000,128,16384,785.9713:193.4308,786.9407:196.8794,805.9843:202.2263,
DATA,4.0000,256,16384,828.1951:206.5251,830.8954:207.5383,834.5433:207.9795,
DATA,4.0000,512,16384,832.3751:209.0945,837.1734:211.6747,845.5855:211.1038,
DATA,4.0000,1024,16384,843.6015:211.3098,851.8734:209.9586,867.0208:215.0939,
DATA,4.0000,2048,16384,871.2304:218.0582,866.2166:213.4764,871.7438:213.9503,
