type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1393.4766:352.6465,1381.3688:347.8049,1370.9929:345.7519,
DATA,4.0000,64,256,1392.2143:346.2694,1387.8638:343.3703,1415.6846:352.6315,
DATA,4.0000,128,256,1628.2000:412.6070,1635.3222:412.6105,1550.8484:383.4993,
DATA,4.0000,256,256,1591.0545:393.3295,1574.0806:394.9786,1561.2821:393.4877,
DATA,4.0000,512,256,1660.0896:416.1867,1679.0001:416.7227,1685.0298:417.8264,
DATA,4.0000,1024,256,1758.1388:441.0744,1797.5938:447.5948,1790.4652:437.3390,
DATA,4.0000,2048,256,1650.3862:407.8231,1716.5871:433.8357,1724.9490:430.9440,
DATA,4.0000,32,512,1379.7399:348.0864,1376.6278:346.7828,1362.2975:336.6235,
DATA,4.0000,64,512,1495.6268:371.7092,1493.9632:368.5464,1486.8887:372.9284,
DATA,4.0000,128,512,1584.4214:394.4085,1563.0480:401.1665,1538.9326:382.9007,
DATA,4.0000,256,512,1555.8134:390.4086,1550.5746:386.1153,1600.2144:395.2553,
DATA,4.0000,512,512,1715.7291:433.5052,1732.6709:436.4680,1723.4322:440.6170,
DATA,4.0000,1024,512,1719.1917:427.9256,1736.9664:429.8614,1736.3485:433.1272,
DATA,4.0000,2048,512,1637.5033:414.6668,1720.5127:425.0601,1731.3366:435.6225,
DATA,4.0000,32,1024,1244.0535:307.3675,1244.6558:311.7462,1241.7059:303.3172,
DATA,4.0000,64,1024,1429.4447:359.9989,1425.1182:352.5870,1422.6524:351.9333,
DATA,4.0000,128,1024,1450.5463:360.0465,1446.0562:364.2241,1457.3239:367.6984,
DATA,4.0000,256,1024,1595.7689:404.2737,1589.7928:391.4185,1586.6590:391.4587,
DATA,4.0000,512,1024,1586.6647:393.9227,1590.6178:402.6683,1592.7856:404.4131,
DATA,4.0000,1024,1024,1645.0410:410.3294,1652.6953:404.6422,1667.2006:418.0564,
DATA,4.0000,2048,1024,1591.2585:391.6472,1636.8400:408.8725,1631.9004:408.0133,
DATA,4.0000,32,2048,1247.7747:311.9033,1232.3725:311.9133,1235.9785:308.1507,
DATA,4.0000,64,2048,1289.7020:325.1275,1292.9953:327.0471,1297.9188:322.8125,
DATA,4.0000,128,2048,1374.8800:343.4527,1377.7908:344.4015,1379.2227:345.8291,
DATA,4.0000,256,2048,1489.9921:367.8846,1480.0317:366.2081,1475.8270:367.1898,
DATA,4.0000,512,2048,1516.2043:379.3251,1500.5334:377.8356,1510.5433:376.2491,
DATA,4.0000,1024,2048,1520.7078:381.4241,1546.7902:385.7208,1549.4365:387.7774,
DATA,4.0000,2048,2048,1455.5735:365.7972,1498.6318:379.0529,1481.8069:375.0146,
DATA,4.0000,32,4096,1105.6835:274.7286,1099.5815:277.2700,1104.6619:275.6125,
DATA,4.0000,64,4096,1212.0684:307.1145,1201.9834:301.3956,1196.3665:299.7254,
DATA,4.0000,128,4096,1237.8068:308.0573,1210.1924:304.4367,1211.3539:305.1797,
DATA,4.0000,256,4096,1308.6186:334.0059,1296.5468:326.9201,1296.3312:322.0094,
DATA,4.0000,512,4096,1322.7081:326.9076,1319.5129:326.8137,1313.2941:329.5366,
DATA,4.0000,1024,4096,1336.6702:331.1194,1338.1179:335.8274,1347.1025:336.8300,
DATA,4.0000,2048,4096,1299.0034:323.7261,1345.3092:336.3867,1344.1172:334.3285,
DATA,4.0000,32,8192,861.1901:218.5091,861.2790:215.5074,857.8086:216.4124,
DATA,4.0000,64,8192,946.7106:234.1082,953.9008:234.3717,925.1608:233.3456,
DATA,4.0000,128,8192,1031.1477:260.5617,1043.6763:259.5451,1027.1256:259.4774,
DATA,4.0000,256,8192,1057.6858:258.0328,1060.8961:264.7195,1057.6877:261.5472,
DATA,4.0000,512,8192,1092.7371:268.9237,1095.0149:274.6749,1092.5392:273.0602,
DATA,4.0000,1024,8192,1075.6776:267.9088,1104.8569:276.5722,1102.0075:275.5173,
DATA,4.0000,2048,8192,1048.6436:269.5743,1084.9547:269.6196,1086.4974:277.8870,
DATA,4.0000,32,16384,660.0247:167.2603,692.0945:175.1698,685.6464:169.6580,
DATA,4.0000,64,16384,715.0320:177.3514,745.2644:186.1755,729.0700:183.1782,
DATA,4.0000,128,16384,773.6973:191.3480,767.2693:193.8824,756.0158:189.7113,
DATA,4.0000,256,16384,783.0034:195.5270,782.5428:193.5100,776.7592:191.5947,
DATA,4.0000,512,16384,822.6283:204.1126,806.4256:203.0698,809.0632:203.7044,
DATA,4.0000,1024,16384,831.1874:208.3055,815.1873:204.6776,819.2873:203.2385,
DATA,4.0000,2048,16384,839.2060:211.7602,863.8163:214.2357,850.4929:213.9033,
