type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1658.7095:416.5936,1675.2349:421.3235,1656.0412:416.9106,
DATA,4.0000,64,256,1767.5341:444.5930,1766.1452:441.0352,1767.7264:446.2909,
DATA,4.0000,128,256,1900.8190:479.0623,1903.9846:490.3563,1905.7989:481.1519,
DATA,4.0000,256,256,1945.7106:490.2467,1934.9870:483.6689,1963.5583:470.1882,
DATA,4.0000,512,256,1968.0662:493.7089,1999.5193:504.9754,2009.6085:503.9429,
DATA,4.0000,1024,256,1982.8595:495.0827,2019.3179:504.6502,2025.9202:502.3227,
DATA,4.0000,2048,256,1904.6496:482.8451,1985.5380:506.2951,2006.7939:498.8981,
DATA,4.0000,32,512,1585.0866:395.0827,1570.5848:401.2709,1567.5119:387.1858,
DATA,4.0000,64,512,1724.8207:430.6637,1704.5696:425.6577,1695.5001:426.2576,
DATA,4.0000,128,512,1821.0069:456.1422,1803.5980:460.5039,1806.6337:452.1480,
DATA,4.0000,256,512,1894.8413:472.1490,1865.4523:463.0296,1884.3508:476.7827,
DATA,4.0000,512,512,1781.8145:438.4170,1929.5160:485.2071,1932.4152:487.3615,
DATA,4.0000,1024,512,1938.1141:481.3154,1974.3702:493.9089,1977.0299:497.7929,
DATA,4.0000,2048,512,1818.6238:452.9685,1871.0760:464.2202,1854.6858:468.6960,
DATA,4.0000,32,1024,1398.3758:347.4089,1399.6352:347.0697,1393.0452:345.4781,
DATA,4.0000,64,1024,1624.3120:404.2990,1630.1220:402.4456,1593.5446:397.7776,
DATA,4.0000,128,1024,1711.2112:427.0999,1710.1779:428.1803,1714.2293:424.9070,
DATA,4.0000,256,1024,1819.9832:448.3433,1813.2039:460.0389,1810.8862:456.9477,
DATA,4.0000,512,1024,1806.8846:450.6328,1839.2851:458.4264,1850.7070:451.0189,
DATA,4.0000,1024,1024,1844.6329:470.3043,1869.2530:467.3135,1863.4798:467.7864,
DATA,4.0000,2048,1024,1759.5404:433.1761,1834.0374:456.2338,1784.0037:445.2544,
DATA,4.0000,32,2048,1380.3444:346.6398,1380.5279:340.9773,1380.0490:344.6198,
DATA,4.0000,64,2048,1502.2763:375.2827,1490.9268:382.8469,1403.9144:351.9453,
DATA,4.0000,128,2048,1574.9811:390.5455,1572.0838:392.9259,1573.9248:392.7349,
DATA,4.0000,256,2048,1618.5440:401.8482,1614.4470:401.4345,1593.9401:397.3185,
DATA,4.0000,512,2048,1684.8627:427.1494,1688.3309:416.8963,1689.7654:419.7762,
DATA,4.0000,1024,2048,1651.6580:415.1466,1682.3316:415.1436,1670.2655:421.2328,
DATA,4.0000,2048,2048,1595.1695:394.6940,1700.8236:427.1899,1694.9359:423.9708,
DATA,4.0000,32,4096,1203.3479:298.9582,1197.7869:298.8843,1199.9511:299.7624,
DATA,4.0000,64,4096,1299.2384:333.4143,1300.8243:326.6679,1292.6843:320.1441,
DATA,4.0000,128,4096,1368.3563:341.3939,1374.9763:343.0093,1279.1858:326.3354,
DATA,4.0000,256,4096,1417.2688:354.5689,1412.6401:351.9044,1428.5913:356.2345,
DATA,4.0000,512,4096,1424.3927:353.4706,1404.9051:354.6410,1408.7790:355.9408,
DATA,4.0000,1024,4096,1377.6166:341.6242,1399.6766:349.6017,1383.6634:350.5863,
DATA,4.0000,2048,4096,1378.0198:353.3601,1428.8150:357.2313,1435.9383:356.4484,
DATA,4.0000,32,8192,985.6597:248.5743,987.2059:248.1264,984.6472:250.0504,
DATA,4.0000,64,8192,985.0490:245.0263,1059.1279:263.7122,1052.8252:263.4691,
DATA,4.0000,128,8192,1089.4575:269.6426,1064.1935:262.4642,1060.9995:261.1774,
DATA,4.0000,256,8192,1102.9756:281.3759,1083.3599:273.7814,1081.5487:275.2644,
DATA,4.0000,512,8192,1130.3206:284.2741,1138.9307:288.0372,1134.9949:286.4368,
DATA,4.0000,1024,8192,1148.0928:283.2408,1164.9726:292.5517,1155.3949:291.9436,
DATA,4.0000,2048,8192,1141.6810:286.8872,1183.9815:298.4408,1171.6181:284.6075,
DATA,4.0000,32,16384,716.3199:180.7393,715.8042:175.2307,715.0335:179.7422,
DATA,4.0000,64,16384,764.9877:191.4617,724.1797:182.3362,723.6157:179.2779,
DATA,4.0000,128,16384,790.2539:201.0319,792.7621:198.5840,787.6021:195.7174,
DATA,4.0000,256,16384,829.1875:205.9467,831.6593:209.9165,827.4342:207.6320,
DATA,4.0000,512,16384,855.6527:212.7573,869.9137:212.6554,861.4384:213.3371,
DATA,4.0000,1024,16384,861.4796:214.3913,860.7538:216.7122,884.2515:220.1480,
DATA,4.0000,2048,16384,837.4969:207.8381,881.6553:221.7541,874.3168:219.3483,
