type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1511.0782:381.2211,1500.7191:382.0980,1387.0526:350.8028,
DATA,4.0000,64,256,1648.0147:417.5784,1646.7310:412.5000,1632.5574:408.4411,
DATA,4.0000,128,256,1750.4839:434.8178,1760.7015:444.0636,1755.7519:434.9320,
DATA,4.0000,256,256,1820.3728:458.3830,1835.4392:466.0400,1833.8342:461.8901,
DATA,4.0000,512,256,1890.4036:472.5021,1896.3942:474.0161,1895.6261:480.2817,
DATA,4.0000,1024,256,1859.8674:464.3836,1911.8403:477.7564,1919.0689:478.4940,
DATA,4.0000,2048,256,1835.8629:464.1052,1870.8570:468.8218,1870.4690:479.6219,
DATA,4.0000,32,512,1452.8215:363.2020,1455.6296:358.5991,1453.0745:364.7225,
DATA,4.0000,64,512,1486.9712:369.3269,1600.9703:402.4396,1598.7894:409.9292,
DATA,4.0000,128,512,1668.8526:412.7305,1625.7791:409.4372,1650.6431:406.5327,
DATA,4.0000,256,512,1772.4106:451.1919,1781.3309:441.3732,1784.2774:448.8498,
DATA,4.0000,512,512,1812.7096:457.9325,1837.6464:473.6440,1851.4245:469.2302,
DATA,4.0000,1024,512,1832.8235:455.1662,1832.2081:453.9370,1833.8366:471.2061,
DATA,4.0000,2048,512,1800.5447:451.7915,1868.1260:472.8614,1840.5734:459.9820,
