type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1547.2072:384.3827,1528.9925:385.1170,1572.9792:392.3105,
DATA,4.0000,64,256,1743.7725:429.5286,1746.4370:443.6685,1748.6530:436.2255,
DATA,4.0000,128,256,1835.8067:457.1593,1835.9338:459.7234,1841.2033:451.7545,
DATA,4.0000,256,256,1949.2207:480.6361,1915.3663:477.6846,1916.9294:480.6562,
DATA,4.0000,512,256,1992.9111:491.1826,1986.1450:487.4351,1976.5213:497.5232,
DATA,4.0000,1024,256,2025.5709:506.5881,2023.6978:501.5144,2002.4585:502.0130,
DATA,4.0000,2048,256,1981.4493:498.7690,1981.0560:491.6918,1991.5588:491.1375,
DATA,4.0000,32,512,1505.8039:383.1080,1501.9309:376.9844,1500.5792:377.1064,
DATA,4.0000,64,512,1525.9155:380.8040,1584.8326:394.8180,1566.2186:381.4691,
DATA,4.0000,128,512,1774.2412:450.2794,1773.5707:447.8825,1782.6274:451.8999,
DATA,4.0000,256,512,1848.4723:461.1704,1853.1865:469.0302,1847.7269:466.7182,
DATA,4.0000,512,512,1899.6202:477.6918,1884.8981:471.8053,1896.0955:484.4327,
DATA,4.0000,1024,512,1852.7128:460.2030,1908.8872:474.2122,1921.3577:482.9401,
DATA,4.0000,2048,512,1861.2437:470.6248,1874.9020:476.0803,1867.6927:469.4295,
