type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1387.6814:345.4901,1347.1959:334.8202,1390.3953:347.0769,
DATA,4.0000,64,256,1611.6157:406.7345,1562.7883:393.8725,1572.5433:390.2350,
DATA,4.0000,128,256,1674.9475:426.8712,1655.3158:414.6969,1653.7620:415.7114,
DATA,4.0000,256,256,1815.3301:466.7134,1839.6402:457.6393,1835.5954:459.9235,
DATA,4.0000,512,256,1892.1067:477.5089,1902.9723:464.3583,1892.0182:478.1751,
DATA,4.0000,1024,256,1897.1423:469.2596,1921.1773:483.1434,1907.7365:477.4994,
DATA,4.0000,2048,256,1807.0472:447.8875,1888.0593:477.5657,1886.0825:467.2406,
DATA,4.0000,32,512,1444.1554:361.0377,1426.4248:362.3565,1443.2017:361.5660,
DATA,4.0000,64,512,1573.7539:396.0982,1565.1857:386.9495,1543.7242:386.3119,
DATA,4.0000,128,512,1692.2860:427.0481,1692.3270:426.8336,1696.1601:429.9290,
DATA,4.0000,256,512,1758.2323:433.5201,1769.7901:443.6450,1773.6978:443.5197,
DATA,4.0000,512,512,1818.2575:451.8345,1826.2723:452.5112,1815.4387:449.4919,
DATA,4.0000,1024,512,1751.5086:440.1305,1766.4240:447.5110,1773.8215:436.5693,
DATA,4.0000,2048,512,1748.1894:431.4282,1828.4229:453.2972,1823.6341:455.6398,
