type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1522.1664:381.3948,1465.5865:360.6865,1391.1531:349.7451,
DATA,4.0000,64,256,1691.1690:430.9036,1688.1456:425.1396,1646.0228:409.2419,
DATA,4.0000,128,256,1790.3327:441.3833,1787.5644:451.0162,1791.7212:444.5606,
DATA,4.0000,256,256,1802.8138:449.0068,1790.0589:440.1274,1805.9990:451.8824,
DATA,4.0000,512,256,1918.9363:479.5193,1922.3007:485.2219,1915.5314:479.0752,
DATA,4.0000,1024,256,1928.5504:472.5648,1983.3470:506.8039,1978.0731:493.3953,
DATA,4.0000,2048,256,1782.9213:451.1098,1869.7713:469.0704,1868.4656:470.6999,
DATA,4.0000,32,512,1474.0264:366.3435,1448.8656:365.7526,1477.7972:361.5397,
DATA,4.0000,64,512,1571.5713:396.4389,1526.2284:382.7382,1453.1960:370.8347,
DATA,4.0000,128,512,1665.1467:417.4333,1660.5247:411.8092,1672.9046:418.0511,
DATA,4.0000,256,512,1816.6518:447.2417,1831.2693:451.7455,1780.9390:443.7667,
DATA,4.0000,512,512,1862.9620:463.6113,1872.4330:458.0519,1876.3594:466.6495,
DATA,4.0000,1024,512,1874.8573:474.0071,1904.8576:476.8783,1879.7904:460.0734,
DATA,4.0000,2048,512,1769.9232:449.1429,1848.5098:461.2810,1847.3204:462.3152,
